,0.5,0.6,0.7,0.8,0.9,1
1107,,,,,,15.78920279
1108,,,,,,15.78920279
1109,9857.512521,,,,,15.78920279
1110,,,,,,15.78920279
1111,,,,,,
1112,,,,,,
1113,,,,,102.3630347,
1114,,,,,,
1115,,,,,,14.84533997
1116,,,,,,14.84533997
1117,,,,,,14.84533997
1118,,,2445.857518,,,
1119,,4722.337275,,554.0335633,,14.84533997
1120,,,,,,
1121,,,,,,14.84533997
1122,,,,,,14.84533997
1123,,,,,,
1124,,,,,,14.84533997
1125,,,,,,14.84533997
1126,,,,,87.98140187,14.84533997
1127,,,,,,
1128,11146.90784,,,,,
1129,,,,,,14.84533997
1130,,,,,,
1131,,,,564.5342494,,14.84533997
1132,,,,,,14.83086082
1133,,,,,,
1134,,,,,,14.83086082
1135,,,2281.384861,,,
1136,,,,,,
1137,,,,,,
1138,,,,,,12.21964092
1139,,,,,,
1140,,,,,,12.21964092
1141,,6182.209512,,,87.98140187,
1142,,,,,,12.21964092
1143,,,,,,
1144,,,,,,11.43515698
1145,,,,,,11.43515698
1146,,,,,,
1147,,,,,,11.43515698
1148,11146.90784,,,,,
1149,,,,,,8.418994171
1150,,,2107.46054,,,
1151,,,,,,8.418994171
1152,,,,,,
1153,,,,458.1341491,,8.418994171
1154,,,,,,
1155,,,,,,8.418994171
1156,,,,,87.98140187,8.295531264
1157,,,,,,8.295531264
1158,,,,,,8.295531264
1159,,,,,,8.295531264
1160,,,,,,
1161,,,,,,
1162,,,,,,7.905646357
1163,,,,,,
1164,,,,,,
1165,,,,,,6.78222141
1166,,3312.930995,,,,
1167,,,,,,6.78222141
1168,,,2820.680505,,87.98140187,
1169,,,,,,6.78222141
1170,,,,458.1341491,,
1171,,,,,,6.78222141
1172,6404.487008,,,,,6.78222141
1173,,,,,,6.78222141
1174,,,,,,
1175,,,,,,6.78222141
1176,,,,,,6.78222141
1177,,,,,,6.78222141
1178,,,,,,
1179,,,,,87.98140187,6.78222141
1180,,,,,,
1181,,,,,,
1182,,,,,,6.78222141
1183,,,,,,
1184,,,,,,
1185,,,2820.680505,,,6.78222141
1186,,,,,,6.78222141
1187,,,,,,
1188,,,,,,6.78222141
1189,,2926.545961,,458.1341491,,
1190,,,,,,6.78222141
1191,,,,,,
1192,,,,,,6.78222141
1193,,,,,94.21332298,6.78222141
1194,,,,,,6.78222141
1195,,,,,,
1196,,,,,,
1197,11146.90784,,,,,
1198,,,,,,5.887125808
1199,,,,,,5.887125808
1200,,,,,,5.887125808
1201,,,,,,
1202,,,,,,5.887125808
1203,,,2350.984973,,,5.887125808
1204,,,,,,
1205,,,,,,5.411997563
1206,,,,,,5.411997563
1207,,,,,,
1208,,,,503.0873809,,
1209,,,,,94.21332298,5.411997563
1210,,4174.69259,,,,
1211,,,,,,5.411997563
1212,,,,,,
1213,,,,,,5.411997563
1214,,,,,,
1215,,,,,,4.933052431
1216,,,2350.984973,,,
1217,,,,,,
1218,,,,,,
1219,,,,,,
1220,11146.90784,,,,98.40408898,4.933052431
1221,,,,,,
1222,,,,503.0873809,,4.933052431
1223,,,,,,
1224,,,,,,4.670858919
1225,,7567.9685,,,,
1226,,,,,,
1227,,,,,,4.670858919
1228,,,,,,
1229,,,,,,
1230,,,,,,4.670858919
1231,,,,,86.44712839,4.670858919
1232,,,,,,
1233,,,,,,4.670858919
1234,,,,,,
1235,,,,,,4.670858919
1236,,,2350.984973,,,
1237,,,,,,
1238,,,,,,
1239,,,,,,4.416628362
1240,,,,,,
1241,,,,,,
1242,11146.90784,,,503.0873809,,
1243,,,,,,
1244,,,,,,4.3321814
1245,,,,,,
1246,,,,,,
